"filename", "language", "Markdown", "CSV", "JSON", "HTML", "XML", "Python", "CSS", "pip requirements", "JavaScript", "comment", "blank", "total"
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\README.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 111
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\details.md", "Markdown", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 98
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\diff.csv", "CSV", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\results.csv", "CSV", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-10_02-16-42\results.md", "Markdown", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-12_04-52-39\details.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 106
"c:\vs code\GitHub\CNIPE_INTERNSHIP_PROJECT_3IIR\dev\.VSCodeCounter\2024-09-12_04-52-39\diff-details.md", "Markdown", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
